,id_anonimo,Boas vindas!!!,Unnamed: 3,Plano de ensino (unificado),Unnamed: 5,Cronograma detalhado,Unnamed: 7,Diário de classe,Unnamed: 9,Lançamento de notas e frequência no sistema acadêmico,Unnamed: 11,Cálculo de notas para Exame Especial,Unnamed: 13,Escolha para o EXAME ESPECIAL,Unnamed: 15,Página da disciplina,Unnamed: 17,Agenda do Professor,Unnamed: 19,"Atendimentos: Extraclase, Monitoria e Tutoria",Unnamed: 21,opCoders Judge (Corretor automático de exercícios práticos),Unnamed: 23,Informações sobre recursos didáticos,Unnamed: 25,Material Didático Unificado,Unnamed: 27,Conteúdo teórico (livro texto),Unnamed: 29,Resumo para a Prova Teórica 1 (PT1),Unnamed: 31,Resumo para a Prova Teórica 1 (PT2),Unnamed: 33,Bibliografia básica,Unnamed: 35,[T] Apresentação da disciplina,Unnamed: 37,Material complementar - Videoaula: Apresentação da disciplina (29 min),Unnamed: 39,[T] Cap. 1 - Introdução,Unnamed: 41,Material complementar - Videoaula: Introdução (37 min),Unnamed: 43,[AP-1.1] Ambiente de programação,Unnamed: 45,[T] Caps. 2 e 3 -Conceitos básicos,Unnamed: 47,Material complementar - Videoaula: Conceitos básicos (120 min),Unnamed: 49,[AP-1.2] Conhecendo o corretor automático,Unnamed: 51,"[AP-2_3] Variáveis, expressões, entrada e saída",Unnamed: 53,[T] Estruturas de Decisão,Unnamed: 55,Material complementar - Videoaula: Estruturas de Decisão (87 min),Unnamed: 57,[AP-4.1] Estruturas de Decisão Simples,Unnamed: 59,[AP-4.2] Estruturas de Decisão Aninhadas,Unnamed: 61,[T] Estrutura de Repetição: WHILE,Unnamed: 63,Material complementar - Videoaula: Estrutura de Repetição: WHILE (79 min),Unnamed: 65,Questionário estrutura WHILE,Unnamed: 67,[AP-5.1] Estrutura de Repetição: WHILE,Unnamed: 69,[T] Estrutura de Repetição: FOR,Unnamed: 71,Material complementar - Videoaula: Estrutura de Repetição: FOR (69 min),Unnamed: 73,[AP-5.2] Estrutura de Repetição: FOR,Unnamed: 75,[T] Estrutura de Repetição - Laços Aninhados,Unnamed: 77,Material complementar - Videoaula: Estrutura de Repetição: Laços Aninhados (46 min),Unnamed: 79,[AP-5.3] Estrutura de Repetição - Laços Aninhados,Unnamed: 81,[T] Implementação de Funções,Unnamed: 83,Material complementar - Videoaula: Implementação de Funções (57 min),Unnamed: 85,[AP-6.1] Implementação de Funções,Unnamed: 87,[AP-6.2] Implementação de Funções,Unnamed: 89,Biblioteca padrão para Vetores e Matrizes,Unnamed: 91,[T] Estruturas Homogêneas: VETOR,Unnamed: 93,Material complementar - Videoaula: Estruturas Homogêneas: VETOR (100 min),Unnamed: 95,[AP-7.1] Estrutura Homogênea - VETOR,Unnamed: 97,[AP-7.2] Estrutura Homogênea - VETOR,Unnamed: 99,[T] Estruturas Homogêneas: MATRIZ,Unnamed: 101,Material complementar - Videoaula: Estruturas Homogêneas: MATRIZ (61 min),Unnamed: 103,[AP-7.3] Estrutura Homogênea - MATRIZ,Unnamed: 105,[AP-7.4] Estrutura Homogênea - MATRIZ,Unnamed: 107,[T] Estruturas Heterogêneas: REGISTRO,Unnamed: 109,Material complementar - Videoaula: Estruturas Heterogêneas: REGISTRO (25 min),Unnamed: 111,[AP-8] Estruturas Heterogêneas - REGISTRO,Unnamed: 113,Unnamed: 114,Unnamed: 115
0,0e5ac37a8aa23cdde6b8abfee77ef79c,Concluído,2024-11-28 13:28:05,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-20 16:37:31,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 18:25:37,Concluído,2024-12-10 18:31:39,Não concluído,,Concluído,2024-12-10 18:50:18,Concluído,2024-12-21 14:01:34,Concluído,2024-12-21 13:50:35,Concluído,2025-01-21 08:43:57,Concluído,2025-02-06 19:02:26,Concluído,2025-02-09 19:21:15,Concluído,2025-02-04 13:47:24,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
2,6d86e37dea245adf7bb1ab3780cfb6c6,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 11:37:54,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-29 18:56:24,Não concluído,,Não concluído,,Concluído,2025-03-29 07:12:47,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-25 21:20:32,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
3,cdd8ee189c5d6b06b33fabe138566fca,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 20:02:55,Concluído,2025-01-28 19:22:23,Concluído,2024-12-11 15:20:20,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
4,b3f036a602d657ed160c1255ff355a47,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-13 23:07:33,Concluído,2024-11-14 22:32:19,Concluído,2024-11-14 22:32:20,Concluído,2024-11-25 23:12:51,Concluído,2024-11-25 23:12:55,Concluído,2024-11-25 23:12:55,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-11 21:42:50,Não concluído,,Concluído,2024-12-11 21:42:56,Concluído,2025-01-21 10:41:02,Concluído,2025-01-21 10:41:04,Concluído,2025-01-21 10:41:03,Concluído,2025-02-06 14:25:38,Concluído,2025-02-06 14:33:45,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
5,c95c523ccac8859e142719c42cfd0253,Concluído,2024-11-14 18:57:31,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-25 12:16:29,Concluído,2024-11-25 12:16:27,Não concluído,,Não concluído,,Concluído,2024-12-02 18:59:53,Concluído,2024-12-05 13:26:08,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-09 16:31:22,Não concluído,,Não concluído,,Concluído,2024-12-16 19:30:04,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
6,012a09f6b298d56460be243574f15daf,Concluído,2024-11-13 08:46:20,Concluído,2024-11-13 08:46:22,Concluído,2024-11-13 08:46:24,Concluído,2025-02-18 15:22:33,Concluído,2025-04-07 13:27:07,Concluído,2025-04-07 13:27:12,Concluído,2024-11-19 15:23:32,Concluído,2024-11-19 15:23:34,Concluído,2024-11-19 15:23:36,Concluído,2024-11-19 15:23:38,Concluído,2025-02-18 15:22:39,Concluído,2024-11-19 15:23:41,Concluído,2025-02-18 15:22:44,Concluído,2024-11-19 15:23:44,Não concluído,,Não concluído,,Concluído,2024-11-19 15:23:48,Concluído,2024-11-19 15:23:50,Concluído,2025-02-18 19:56:30,Concluído,2024-11-19 15:23:54,Concluído,2024-11-19 15:23:55,Concluído,2024-11-19 15:23:56,Concluído,2024-11-19 15:23:57,Concluído,2024-11-19 15:23:59,Concluído,2024-11-19 15:24:02,Concluído,2025-02-18 19:56:53,Concluído,2024-11-23 15:08:42,Concluído,2024-11-27 17:25:51,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-12 15:21:29,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-16 13:22:42,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
7,3919acaa3651cb0dcad3bb1d32f7c12b,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-22 22:51:28,Não concluído,,Concluído,2025-01-28 15:41:22,Não concluído,,Concluído,2025-01-31 12:47:43,Concluído,2025-01-31 20:01:17,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-27 13:50:00,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
9,23b16a693c147e2240dba2d2295ee0b5,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-20 12:28:51,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-20 12:28:59,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
10,4bf6453abbadc3fdc1f47eebbf14f55c,Concluído,2025-01-31 18:05:39,Não concluído,2024-12-02 18:41:51,Não concluído,2025-01-19 22:46:17,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,2024-12-06 09:43:39,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-29 17:00:34,Concluído,2025-01-29 17:00:36,Concluído,2025-01-29 17:00:48,Concluído,2025-01-29 17:40:25,Concluído,2025-01-29 17:40:26,Concluído,2025-01-29 17:51:32,Concluído,2024-12-11 10:22:31,Concluído,2025-01-31 11:57:19,Concluído,2025-01-31 11:57:29,Concluído,2025-01-31 21:54:53,Concluído,2025-01-31 21:55:30,Concluído,2025-01-31 21:55:31,Concluído,2025-01-31 21:55:32,Concluído,2024-12-16 23:43:43,Concluído,2024-12-16 23:45:50,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
11,36bb769a7b2935e3b3f20d1cced21c7b,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-09 16:01:28,Concluído,2024-12-09 16:00:09,Não concluído,,Não concluído,,Concluído,2025-03-18 20:03:00,Concluído,2025-03-18 20:03:06,Concluído,2025-03-19 12:56:53,Concluído,2025-02-06 10:22:52,Não concluído,,Concluído,2025-02-06 10:22:32,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
