Nome do recurso	Tipo	Conteúdo	Tópico	Obs	Normalized_Resource_Name
Boas vindas!!!	Página	Informativo	Geral		boas vindas
Plano de ensino (unificado) - BCC701	PDF	Informativo	Geral		plano de ensino - bcc701
Cronograma detalhado	Planilha	Informativo	Geral		cronograma detalhado
Diário de classe	Planilha	Informativo	Geral		diário de classe
Cálculo de notas para Exame Especial	Código Python	Informativo	Geral		calculo de notas para exame especial
Escolha para o EXAME ESPECIAL	Enquete	Informativo	Geral		escolha para o exame especial
Página da disciplina	Página	Informativo	Geral		pagina da disciplina
Agenda do Professor	Página	Informativo	Geral		agenda do professor
Atendimentos: Extraclase, Monitoria e Tutoria	Página	Informativo	Geral		atendimentos extraclase, monitoria e tutoria
opCoders Judge (Corretor automático de exercícios práticos)	Página	Informativo	Geral		opcoders judge corretor automatico de exercicios praticos
Conteúdo teórico (livro texto)	PDF	Didático	Geral		conteudo teorico (livro texto)
Resumo para a Prova Teórica 1 (PT1)	PDF	Didático	PT1		resumo para a prova teorica 1 (pt1)
Resumo para a Prova Teórica 2 (PT2)	PDF	Didático	PT2		resumo para a prova teórica 2 (pt2)
Apresentação da disciplina	Aula Slides PDF	Didático	Geral		apresentacao da disciplina
[1] Plano de ensino (13 min)	Aula Vídeo	Didático	Geral		[1] plano de ensino (13 min)
[2] Critérios de avaliação (13 min) 	Aula Vídeo	Didático	Geral		[2] critérios de avaliação (13 min)
[3] Ferramentas e recursos (17 min)	Aula Vídeo	Didático	Geral		[3] ferramentas e recursos (17 min)
[4] Dicas para um bom desempenho da disciplina (14 min)	Aula Vídeo	Didático	Geral		[4] dicas para um bom desempenho da disciplina (14 min)
[Cap. 1] Introdução	Aula Slides PDF	Didático	PT1		[cap. 1] introducao
[1] Algoritmos (25 min)	Aula Vídeo	Didático	PT1		[1] algoritmos
[2] Programas de computador (30 min)	Aula Vídeo	Didático	PT1		[2] programas de computador (30 min)
[QM-1] Questionário teórico do Capítulo 1 (prazo: 18/Mai às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-1] questionário teórico do capítulo 1 (prazo 18/mai às 2359)
[Cap. 2] Variáveis e expressões	Aula Slides PDF	Didático	PT1		[cap. 2] variáveis e expressões
[1] Variáveis (30 min)	Aula Vídeo	Didático	PT1		[1] variáveis (30 min)
[2] Expressões: Parte 1 - Operadores aritméticos (16 min)	Aula Vídeo	Didático	PT1		[2] expressões parte 1 - operadores aritméticos (16 min)
[3] Expressões: Parte 2 - Precedência e associatividade (12 min)	Aula Vídeo	Didático	PT1		[3] expressões parte 2 - precedência e associatividade (12 min)
[4] Expressões: Parte 3 - Exercício (com contra-exemplo) (6 min)	Aula Vídeo	Didático	PT1		[4] expressões parte 3 - exercício (com contra-exemplo) (6 min)
[5] Expressões: Parte 4 - Funções elementares (20 min)	Aula Vídeo	Didático	PT1		[5] expressões parte 4 - funções elementares (20 min)
[6] Expressões: Parte 5 - Valores constantes (4 min)	Aula Vídeo	Didático	PT1		[6] expressões parte 5 - valores constantes (4 min)
[7] Expressões: Parte 6 - Exemplos de funções e constantes (15 min)	Aula Vídeo	Didático	PT1		[7] expressões parte 6 - exemplos de funções e constantes (15 min)
[8] Expressões: Parte 7 - Exercício prático (10 min)	Aula Vídeo	Didático	PT1		[8] expressões parte 7 - exercício prático (10 min)
[QM-2] Questionário teórico do Capítulo 2 (prazo: 25/Mai às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-2] questionário teórico do capítulo 2 (prazo 25/mai às 2359)
[Cap. 3] Entrada e saída	Aula Slides PDF	Didático	PT1		[cap. 3] entrada e saída
[1] Introdução (3 min)	Aula Vídeo	Didático	PT1		[1] introducao (3 min)
[2] Entrada (23 min)	Aula Vídeo	Didático	PT1		[2] entrada (23 min)
[3] Saída (6 min)	Aula Vídeo	Didático	PT1		[3] saída (6 min)
[4] Strings (37 min)	Aula Vídeo	Didático	PT1		[4] strings
[5] Exercícios práticos (27 min)	Aula Vídeo	Didático	PT1		[5] exercícios práticos (27 min)
[QM-3] Questionário teórico do Capítulo 3 (prazo: 28/Mai às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-3] questionário teórico do capítulo 3 (prazo 28/mai às 2359)
[AP-1.1] Ambiente de programação	AP PDF	AP	PT1		ambiente de programacao
[AP-1.2] Conhecendo o corretor automático	AP PDF	AP	PT1		conhecendo o corretor automático
[AP-2_3.1] Variáveis, expressões, entrada e saída (aula)	AP PDF	AP	PT1		[ap-2_3.1] variáveis, expressões, entrada e saída (aula)
[AP-2_3.2] Variáveis, expressões, entrada e saída (semana)	AP PDF	AP	PT1		[ap-2_3.2] variáveis, expressões, entrada e saída (semana)
[Cap. 4] Estruturas de Decisão	Aula Slides PDF	Didático	PT1		[cap. 4] estruturas de decisão
[1] Introdução e operadores relacionais (10 min)	Aula Vídeo	Didático	PT1		[1] introducao e operadores relacionais (10 min)
[2] Comando if (21 min)	Aula Vídeo	Didático	PT1		[2] comando if (21 min)
[3] A cláusula else (19 min)	Aula Vídeo	Didático	PT1		[3] a cláusula else (19 min)
[QM-4] Questionário teórico do Capítulo 4 - até clausula else (prazo: 02/Jun às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-4] questionário teórico do capítulo 4 - até clausula else (prazo 02/jun às 2359)
[4] Operadores lógicos (20 min)	Aula Vídeo	Didático	PT1		[4] operadores lógicos (20 min)
[5] Decisões aninhadas (26 min)	Aula Slides PDF	Didático	PT1		[5] decisões aninhadas (26 min)
[QM-5] Questionário teórico do Capítulo 4 - até decisões aninhadas (prazo: 02/Jun às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-5] questionário teórico do capítulo 4 - até decisões aninhadas (prazo 02/jun às 2359)
[AP-4.1] Estruturas de Decisão Simples (aula)	AP PDF	AP	PT1		estruturas de decisão simples (aula)
[AP-4.2] Estruturas de Decisão Simples (semana)	AP PDF	AP	PT1		estruturas de decisão simples (semana)
[AP-4.3] Estruturas de Decisão Aninhadas (aula)	AP PDF	AP	PT1		[ap-4.3] estruturas de decisão aninhadas (aula)
[AP-4.4] Estruturas de Decisão Aninhadas (semana)	AP PDF	AP	PT1		[ap-4.4] estruturas de decisão aninhadas (semana)
[Cap. 5.1] Estrutura de Repetição: WHILE	Aula Slides PDF	Didático	PT1		[cap. 5.1] estrutura de repetição while
[1] Introdução (6 min)	Aula Vídeo	Didático	PT1		[1] introducao (6 min)
[2] Comando while (8 min)	Aula Vídeo	Didático	PT1		[2] comando while (8 min)
[3] Exercício 1 (20 min)	Aula Vídeo	Didático	PT1		[3] exercício 1 (20 min)
[4] Exercício 2 (23 min)	Aula Vídeo	Didático	PT1		[4] exercício 2 (23 min)
[5] Exercício 3 (26 min)	Aula Vídeo	Didático	PT1		[5] exercício 3 (26 min)
[6] Exercício 4 (24 min)	Aula Vídeo	Didático	PT1		[6] exercício 4 (24 min)
[7] Exercício 5 (15 min)	Aula Vídeo	Didático	PT1		[7] exercício 5 (15 min)
[QM-6] Questionário teórico da Seção 5.1 (prazo: 08/Jun às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-6] questionário teórico da seção 5.1 (prazo 08/jun às 2359)
[AP-5.1] Estrutura de Repetição: WHILE (aula)	AP PDF	AP	PT1		estrutura de repetição while (aula)
[AP-5.2] Estrutura de Repetição: WHILE (semana)	AP PDF	AP	PT1		estrutura de repetição while (semana)
[Cap. 5.2] Estrutura de Repetição: FOR	Aula Slides PDF	Didático	PT1		[cap. 5.2] estrutura de repetição for
[1] Introdução (7 min)	Aula Vídeo	Didático	PT1		[1] introducao (7 min)
[2] Comando FOR (24 min)	Aula Vídeo	Didático	PT1		[2] comando for (24 min)
[3] Exercício 1 (18 min)	Aula Vídeo	Didático	PT1		[3] exercício 1 (18 min)
[4] Exercício 2 (13 min)	Aula Vídeo	Didático	PT1		[4] exercício 2 (13 min)
[5] Comparando WHILE e FOR (13 min)	Aula Vídeo	Didático	PT1		[5] comparando while e for (13 min)
[6] Exercício 3 (22 min)	Aula Vídeo	Didático	PT1		[6] exercício 3 (22 min)
[QM-7] Questionário teórico da Seção 5.2 (prazo: 15/Jun às 23:59)	Questionário Objetivo	Avaliativo	PT1		[qm-7] questionário teórico da seção 5.2 (prazo 15/jun às 2359)
