task_name,11_12-BCC104-24.2,11_12-BCC701-24.2,13_14-BCC701-24.2,15_16-BCC701-24.2,17_18-BCC701-24.2,19_20-BCC701-24.2,1_2-BCC701-24.2,3_4-BCC701-24.2,5_6-BCC701-24.2,7_8-BCC701-24.2,9_10-BCC701-24.2
"[AP-2_3] Variáveis, Expressões, Entrada e Saída",10,157,149,180,15,122,10,181,163,31,151
[AP-4.1] Estrutura de Decisão Simples,10,216,127,164,85,146,145,190,180,153,159
[AP-4.2] Estruturas de Decisão Aninhadas,7,162,129,144,74,111,91,83,115,93,130
[AP-4.3] Estrutura de Decisão - Atividade Complementar,6,88,87,92,57,61,54,82,69,56,68
[AP-5.1] Estrutura de Repetição WHILE,4,163,76,75,71,102,87,122,107,75,124
[AP-5.2] Estrutura de Repetição: FOR,4,123,98,132,69,99,67,108,83,73,86
[AP-5.3] Estruturas de Repetição Aninhadas,6,112,56,85,42,48,42,54,47,29,73
[AP-6.1] Implementação de Funções,3,107,52,78,37,58,44,60,64,16,82
[AP-6.2] Implementação de Funções,6,123,51,74,30,56,38,71,59,18,83
[AP-7.1] Estrutura Homogênea: VETOR,6,119,62,80,27,45,30,79,34,21,75
[AP-7.2] Estrutura Homogênea: VETOR,6,111,66,93,19,49,18,41,33,18,60
[AP-7.3] Estrutura Homogênea: MATRIZ,8,131,88,120,48,80,60,102,70,25,94
[AP-7.4] Estrutura Homogênea: MATRIZ,6,88,63,88,29,52,40,78,51,15,71
[AP-8] Estrutura Heterogênea: REGISTRO,1,65,4,15,0,33,0,3,48,0,51
[AP-S1] Simulado da Prova Teórica Unificada 1,5,119,72,106,46,58,60,73,64,46,91
[AP-S2] Simulado da Prova Teórica Unificada 2,3,107,59,88,26,35,35,61,50,15,73
